Unit	HP		
Player_Rammy	100		
Enemy_BearBrute_Melee	36		
Enemy_BearBrute_Ranged_OnGround	24		
Enemy_BearBrute_Ranged_InTower	28		
Enemy_Wolf_Melee_Area1	12		
Enemy_Wolf_Melee_Area2	15		
Enemy_Wolf_Melee_Area3	20		
Enemy_Wolf_Ranged_Area1	10		
Enemy_Wolf_Ranged_Area2	12		
Enemy_Wolf_Ranged_Area3	14		
Enemy_Hawk_Melee_Area2	14		16
Enemy_Hawk_Melee_Area3	16		18
Enemy_Hawk_Ranged_Area2	12		14
Enemy_Hawk_Ranged_Area3	14		16
Enemy_WolfBoss_Phase1	125		
Enemy_HawkBoss_Phase1	150		
Enemy_HawkBoss_Phase2	125		
Enemy_BearBoss_Phase1	175		
Enemy_BearBoss_Phase2	150		
Enemy_BearBoss_Phase3	125		
