Rammys attacks	Damage on impact	Cooldown	Effects	Range	Free variable	Attack time	Total attack time	Splash radius	Attack degree	Raw DPS	DPS with cooldown	Attack time with cooldown		Free variable explenation
Headbutt	3	1	Knockback	0.6	0	0.25	0.25	0	90	12.00	2.40	1.25		
Dash	1	1	Knockback	10	0	0.25	0	0	90	4	0.80	1.25		
Charge Dash	10	1	Push. Knockback	15	1	0.25	1.3	1	180	8.00	4.44	2.25		max charge time
Stomp AOE	10	10	Knockback.Stun	5	0	0.5	0.5	5	360	20.00	0.95	10.5		
Horn spin	0	0	Knockback	8	0	0.5	0.5	2	360	0.0	0.00	0.5		
Horn pull	5	5	Pull. Stun	8	0	0.5	0.5	8	360	10.00	0.91	5.5		
Horn sweep	0	0	Knockback	6	0	0.3	0	6	180	0	0.00	0.3		
Body slam	0	0	Knockback	17	0	0.5	1	2	90	0	0.00	0.5		
Upgraded attacks														
Rammys attacks	Damage on impact	Cooldown	Effects	Range	Free variable	Attack time	Total attack time	Splash radius	Attack degree	Raw DPS	DPS with cooldown	Attack time with cooldown		
Charge Dash+	10	1	Push. Knockback. Mud slide	20	1	0.25	1.25	2	180	8	4.44	2.25		max charge time
Stomp AOE+	20	5	Knockback. Stun	10	0	0.5	0.5	5	360	40.00	3.64	5.5		
Horn spin+	0	0	Knockback	16	0	0.5	0.5	2	360	0.00	0.00	0.5		
Horn pull+	5	5	Pull. Stun	16	0	0.5	0.5	16	360	10	0.91	5.5		
Horn sweep+	0	0	Knockback	12	0	0.3	0.3	12	180	0	0.00	0.3		
Body slam+	0	0	Knockback	25	0	0.5	0.5	5	90	0	0.00	0.5		
														
														
														
Attacks With Multipliers														
Rammys attacks	Damage on impact	Cooldown	Effects	Range	Anticipation time	Attack time	Total attack time	Splash radius	Attack degree	Raw DPS	DPS with cooldown	Attack time with cooldown		
Multiplier	1.2													
Headbutt	3.6	1	Knockback	0.6	0	0.25	0.25	0	90	14.40	2.88	1.25		
Dash	1.2	1	Knockback	10	0	0.25	0	0	90	4.8	0.96	1.25		
Charge Dash	12	1	Push. Knockback	15	1	0.25	1.3	1	180	9.60	5.33	2.25		
Stomp AOE	12	10	Knockback.Stun	5	0	0.5	0.5	5	360	24.00	1.14	10.5		
Horn spin	0	0	Knockback	8	0	0.5	0.5	2	360	0.0	0.00	0.5		
Horn pull	6	5	Pull. Stun	8	0	0.5	0.5	8	360	12.00	1.09	5.5		
Horn sweep	0	0	Knockback	6	0	0.3	0	6	180	0	0.00	0.3		
Body slam	0	0	Knockback	17	0	0.5	1	2	90	0	0.00	0.5		
Multiplier	1.3													
Headbutt	3.9	1	Knockback	0.6	0	0.25	0.25	0	90	15.60	3.12	1.25		
Dash	1.3	1	Knockback	10	0	0.25	0	0	90	5.2	1.04	1.25		
Charge Dash	13	1	Push. Knockback	15	1	0.25	1.3	1	180	10.40	5.78	2.25		
Stomp AOE	13	10	Knockback.Stun	5	0	0.5	0.5	5	360	26.00	1.24	10.5		
Horn spin	0	0	Knockback	8	0	0.5	0.5	2	360	0.0	0.00	0.5		
