Rammys attacks	Damage on impact	Cooldown	Effects	Range	Anticipation time	Attack time	Total attack time	Splash radius	Attack degree	Raw DPS	DPS with cooldown	Attack time with cooldown
Headbutt	7	0	Knockback	0,6	0	0,6	0,6	0	90	11,67	11,67	0,6
Dash	2	3	Knockback	10	0	1	1	0	90	2	0,50	4
Charge Dash	5	5	Push, Knockback	15	3	1,5	4,5	1	180	1,11	0,53	9,5
Stomp AOE	13	10	Knockback,Stun	5	1	0,5	1,5	5	360	8,67	1,13	11,5
Horn spin	12	12	Knockback	8	0,5	2	2,5	2	360	4,8	0,83	14,5
Horn pull	4	16	Pull, Stun	8	0,5	2	2,5	8	360	1,60	0,22	18,5
Horn sweep	17	8	Knockback	6	0,5	0,5	1	6	180	17	1,89	9
Body slam	9	18	Knockback	17	1	2	3	2	90	3	0,43	21
Upgraded attacks												
Rammys attacks	Damage on impact	Cooldown	Effects	Range	Anticipation time	Attack time	Total attack time	Splash radius	Attack degree	Raw DPS	DPS with cooldown	Attack time with cooldown
Charge Dash+	10	5	Push, Knockback, Mud slide	20	3	2	5	2	180	2	1,00	10
Stomp AOE+	26	6	Knockback, Stun	10	1	0,5	1,5	5	360	17,33	3,47	7,5
Horn spin+	24	7	Knockback	16	0,5	3	3,5	2	360	6,86	2,29	10,5
Horn pull+	8	10	Pull, Stun	16	0,5	2	2,5	16	360	3,2	0,64	12,5
Horn sweep+	34	5	Knockback	12	0,5	0,5	1	12	180	34	5,67	6
Body slam+	9	12	Knockback	25	1	2	3	5	90	3	0,60	15
												
												
												
Attacks With Multipliers												
Rammys attacks	Damage on impact	Cooldown	Effects	Range	Anticipation time	Attack time	Total attack time	Splash radius	Attack degree	Raw DPS	DPS with cooldown	Attack time with cooldown
Multiplier	1,2											
Headbutt	8,4	0	Knockback	0,6	0	0,6	0,6	0	90	14,00	14,00	0,6
Dash	2,4	3	Knockback	10	0	1	1	0	90	2,4	0,60	4
Charge Dash	6	5	Push, Knockback	15	3	1,5	4,5	1	180	1,33	0,63	9,5
Stomp AOE	15,6	10	Knockback,Stun	5	1	0,5	1,5	5	360	10,40	1,36	11,5
Horn spin	14,4	12	Knockback	8	0,5	2	2,5	2	360	5,8	0,99	14,5
Horn pull	4,8	16	Pull, Stun	8	0,5	2	2,5	8	360	1,92	0,26	18,5
Horn sweep	20,4	8	Knockback	6	0,5	0,5	1	6	180	20,4	2,27	9
Body slam	10,8	18	Knockback	17	1	2	3	2	90	3,6	0,51	21
Multiplier	1,3											
Headbutt	9,1	0	Knockback	0,6	0	0,6	0,6	0	90	15,17	15,17	0,6
Dash	2,6	3	Knockback	10	0	1	1	0	90	2,6	0,65	4
Charge Dash	6,5	5	Push, Knockback	15	3	1,5	4,5	1	180	1,44	0,68	9,5
Stomp AOE	16,9	10	Knockback,Stun	5	1	0,5	1,5	5	360	11,27	1,47	11,5
Horn spin	15,6	12	Knockback	8	0,5	2	2,5	2	360	6,2	1,08	14,5
Horn pull	5,2	16	Pull, Stun	8	0,5	2	2,5	8	360	2,08	0,28	18,5
Horn sweep	22,1	8	Knockback	6	0,5	0,5	1	6	180	22,1	2,46	9
Body slam	11,7	18	Knockback	17	1	2	3	2	90	3,9	0,56	21
Multiplier	1,4											
Headbutt	9,8	0	Knockback	0,6	0	0,6	0,6	0	90	16,33	16,33	0,6
Dash	2,8	3	Knockback	10	0	1	1	0	90	2,8	0,70	4
Charge Dash	7	5	Push, Knockback	15	3	1,5	4,5	1	180	1,56	0,74	9,5
Stomp AOE	18,2	10	Knockback,Stun	5	1	0,5	1,5	5	360	12,13	1,58	11,5
Horn spin	16,8	12	Knockback	8	0,5	2	2,5	2	360	6,7	1,16	14,5
Horn pull	5,6	16	Pull, Stun	8	0,5	2	2,5	8	360	2,24	0,30	18,5
Horn sweep	23,8	8	Knockback	6	0,5	0,5	1	6	180	23,8	2,64	9
Body slam	12,6	18	Knockback	17	1	2	3	2	90	4,2	0,60	21
Multiplier	1,5											
Headbutt	10,5	0	Knockback	0,6	0	0,6	0,6	0	90	17,50	17,50	0,6
Dash	3	3	Knockback	10	0	1	1	0	90	3	0,75	4
Charge Dash	7,5	5	Push, Knockback	15	3	1,5	4,5	1	180	1,67	0,79	9,5
Stomp AOE	19,5	10	Knockback,Stun	5	1	0,5	1,5	5	360	13,00	1,70	11,5
Horn spin	18	12	Knockback	8	0,5	2	2,5	2	360	7,2	1,24	14,5
Horn pull	6	16	Pull, Stun	8	0,5	2	2,5	8	360	2,40	0,32	18,5
Horn sweep	25,5	8	Knockback	6	0,5	0,5	1	6	180	25,5	2,83	9
Body slam	13,5	18	Knockback	17	1	2	3	2	90	4,5	0,64	21
Multiplier	1,6											
Headbutt	11,2	0	Knockback	0,6	0	0,6	0,6	0	90	18,67	18,67	0,6
Dash	3,2	3	Knockback	10	0	1	1	0	90	3,2	0,80	4
Charge Dash	8	5	Push, Knockback	15	3	1,5	4,5	1	180	1,78	0,84	9,5
Stomp AOE	20,8	10	Knockback,Stun	5	1	0,5	1,5	5	360	13,87	1,81	11,5
Horn spin	19,2	12	Knockback	8	0,5	2	2,5	2	360	7,7	1,32	14,5
Horn pull	6,4	16	Pull, Stun	8	0,5	2	2,5	8	360	2,56	0,35	18,5
Horn sweep	27,2	8	Knockback	6	0,5	0,5	1	6	180	27,2	3,02	9
Body slam	14,4	18	Knockback	17	1	2	3	2	90	4,8	0,69	21
Multiplier	1,7											
Headbutt	11,9	0	Knockback	0,6	0	0,6	0,6	0	90	19,83	19,83	0,6
Dash	3,4	3	Knockback	10	0	1	1	0	90	3,4	0,85	4
Charge Dash	8,5	5	Push, Knockback	15	3	1,5	4,5	1	180	1,89	0,89	9,5
Stomp AOE	22,1	10	Knockback,Stun	5	1	0,5	1,5	5	360	14,73	1,92	11,5
Horn spin	20,4	12	Knockback	8	0,5	2	2,5	2	360	8,2	1,41	14,5
Horn pull	6,8	16	Pull, Stun	8	0,5	2	2,5	8	360	2,72	0,37	18,5
Horn sweep	28,9	8	Knockback	6	0,5	0,5	1	6	180	28,9	3,21	9
Body slam	15,3	18	Knockback	17	1	2	3	2	90	5,1	0,73	21
Multiplier	1,8											
Headbutt	12,6	0	Knockback	0,6	0	0,6	0,6	0	90	21,00	21,00	0,6
Dash	3,6	3	Knockback	10	0	1	1	0	90	3,6	0,90	4
Charge Dash	9	5	Push, Knockback	15	3	1,5	4,5	1	180	2,00	0,95	9,5
Stomp AOE	23,4	10	Knockback,Stun	5	1	0,5	1,5	5	360	15,60	2,03	11,5
Horn spin	21,6	12	Knockback	8	0,5	2	2,5	2	360	8,6	1,49	14,5
Horn pull	7,2	16	Pull, Stun	8	0,5	2	2,5	8	360	2,88	0,39	18,5
Horn sweep	30,6	8	Knockback	6	0,5	0,5	1	6	180	30,6	3,40	9
Body slam	16,2	18	Knockback	17	1	2	3	2	90	5,4	0,77	21
Multiplier	1,9											
Headbutt	13,3	0	Knockback	0,6	0	0,6	0,6	0	90	22,17	22,17	0,6
Dash	3,8	3	Knockback	10	0	1	1	0	90	3,8	0,95	4
Charge Dash	9,5	5	Push, Knockback	15	3	1,5	4,5	1	180	2,11	1,00	9,5
Stomp AOE	24,7	10	Knockback,Stun	5	1	0,5	1,5	5	360	16,47	2,15	11,5
Horn spin	22,8	12	Knockback	8	0,5	2	2,5	2	360	9,1	1,57	14,5
Horn pull	7,6	16	Pull, Stun	8	0,5	2	2,5	8	360	3,04	0,41	18,5
Horn sweep	32,3	8	Knockback	6	0,5	0,5	1	6	180	32,3	3,59	9
Body slam	17,1	18	Knockback	17	1	2	3	2	90	5,7	0,81	21
Multiplier	2											
Headbutt	14	0	Knockback	0,6	0	0,6	0,6	0	90	23,33	23,33	0,6
Dash	4	3	Knockback	10	0	1	1	0	90	4	1,00	4
Charge Dash	10	5	Push, Knockback	15	3	1,5	4,5	1	180	2,22	1,05	9,5
Stomp AOE	26	10	Knockback,Stun	5	1	0,5	1,5	5	360	17,33	2,26	11,5
Horn spin	24	12	Knockback	8	0,5	2	2,5	2	360	9,6	1,66	14,5
Horn pull	8	16	Pull, Stun	8	0,5	2	2,5	8	360	3,20	0,43	18,5
Horn sweep	34	8	Knockback	6	0,5	0,5	1	6	180	34	3,78	9
Body slam	18	18	Knockback	17	1	2	3	2	90	6	0,86	21
												
												
												
Upgraded attacks	Damage on impact	Cooldown	Effects	Range	Anticipation time	Attack time	Total attack time	Splash radius	Attack degree	Raw DPS	DPS with cooldown	Attack time with cooldown
Multiplier	1,2											
Charge Dash+	12	5	Push, Knockback, Mud slide	20	3	2	5	2	180	2,4	1,20	10
Stomp AOE+	31,2	6	Knockback, Stun	10	1	0,5	1,5	5	360	20,80	4,16	7,5
Horn spin+	28,8	7	Knockback	16	0,5	3	3,5	2	360	8,23	2,74	10,5
Horn pull+	9,6	10	Pull, Stun	16	0,5	2	2,5	16	360	3,84	0,77	12,5
Horn sweep+	40,8	5	Knockback	12	0,5	0,5	1	12	180	40,8	6,80	6
Body slam+	10,8	12	Knockback	25	1	2	3	5	90	3,6	0,72	15
Multiplier	1,3											
Charge Dash+	13	5	Push, Knockback, Mud slide	20	3	2	5	2	180	2,6	1,30	10
Stomp AOE+	33,8	6	Knockback, Stun	10	1	0,5	1,5	5	360	22,53	4,51	7,5
Horn spin+	31,2	7	Knockback	16	0,5	3	3,5	2	360	8,91	2,97	10,5
Horn pull+	10,4	10	Pull, Stun	16	0,5	2	2,5	16	360	4,16	0,83	12,5
Horn sweep+	44,2	5	Knockback	12	0,5	0,5	1	12	180	44,2	7,37	6
Body slam+	11,7	12	Knockback	25	1	2	3	5	90	3,9	0,78	15
Multiplier	1,4											
Charge Dash+	14	5	Push, Knockback, Mud slide	20	3	2	5	2	180	2,8	1,40	10
Stomp AOE+	36,4	6	Knockback, Stun	10	1	0,5	1,5	5	360	24,27	4,85	7,5
Horn spin+	33,6	7	Knockback	16	0,5	3	3,5	2	360	9,60	3,20	10,5
Horn pull+	11,2	10	Pull, Stun	16	0,5	2	2,5	16	360	4,48	0,90	12,5
